"id","query","product_title","product_description","median_relevance","relevance_variance"
66,"girl halloween costum","coloni girl child halloween costum","tradit ladi revolutionari style travel revolutionari road year earli american cloth costum includ navi blue lace trim peplum blous black fulllength skirt includ wig coloni girl child halloween costum includ navi blue lace trim peplum blous black fulllength skirt includ wig materi content cotton care instruct dri clean size child size chart will vari costum see detail size chart",2,0.471
71,"knife victorinox","victorinox swiss armi number number serrat util knife","victorinox number steak knife tri true member cutleri famili numer variat steak knife serv restaur patron pound pork countless cut beef knife general use knife number inch serrat blade make slice favorit cut clean easi stamp construct creat lighter carv rosewood handl comfort classi round tip blade style tast look ",4,0
72,"micro usb hdmi","cirago cirago mhl1000 mhl micro usb hdmi black","cirago mhl1000 mhl devic hdtv compat hdmi number number mhl number number mhl adapt ideal share content mhl compat smartphon tablet hdtv monitor mhl adapt incorpor mobil highdefinit link version number number support 1080p hd video number number digit audio connect power sourc via micro usb connector simultan charg devic playback hdtv mhl compat devic hdtvsupport 1080p hd video number number digit audioconnect devic via micro usb connector power sourc via secondari micro usb connector simultan charg devic playback hdtvsupport hdmi number 3mhl number 1requir mobil devic mhl enabledinterfac micro usb micro usb hdmi version number 3mhl version number 1audio number number digit audiocolor black",2,1.02
73,"zippo","zippo windproof satin chrome seren prayer lighter new box","",4,0
74,"sleep bag","snugpak chrysali number sleep bag","snugpak chrysali number sleep bag perfect overnight trip temperatur can drop zero spacious sleep bag come expand panel allow comfort well built led assist",4,0
80,"router","belkin wifi rang extend white","",2,1.02
83,"hello kitti","girl hello kitti polka dot foot sleeper","",4,0
88,"golf club","pinemeadow golf nitrix pro men complet numberpiec golf club righthand"," explor origin legend dark knight emerg forc good gotham wake parent disillus industri heir bruce wayn travel world seek mean fight injustic turn fear prey fear return gotham unveil mind citi gotham write batman begin david s begin ",4,0
89,"convers low top","convers chuck taylor low top sneaker women","express individu style convers chuck taylor star low top sneaker canva upper athlet sneaker style rubber cap toe lace front logo detail canva line cushion insol rubber midsol rubber traction outsol",4,0
90,"memori foam pillow","sleep innov numbernumb revers memori foam pillow","",4,0.471
91,"kitchen faucet","modern singl lever oil rub bronz kitchen faucet","",2,1.02
94,"hollist polo","georg men short sleev polo","cold front youth winter boot provid young one outstand protect featur cool look children love snow boot ideal run sled play outsid",3,0.471
98,"dc shoe black","women dc shoe trase tx","ntroduc trase low profil silhouett clean upper will sure classic featur includ canva upper breathabl lightweight metal eyelet print dc logo new origin lowtop skate shoe metal vulcan construct abrasionresist sticki rubber outsol featur dcs trademark",4,0.471
103,"donut shopp k cup","keurig donut shop medium roast coffe kcup number count","",4,0.471
105,"hollist polo","coldeez cold remedi sugar honey number ea","note actual product packag may differ imag shown due packag updat manufactur homeopath zinc glucon glycin",1,0
108,"eye cream","obagi elastiderm eye treatment cream number number oz 15g authent nib seal","",4,0.8
109,"plantron cord headset","plantron numbernumb starset ii h31 mono cord ear headset","",4,0
110,"sleep bag","wildkin stay warm numberdegre kid sleep pink leopard","wildkin",4,0
112,"ps3 wireless control","ps3 dualshock number wireless control urban camouflag","look feel like your part action ps3 dualshock number wireless control urban camouflag compat control cover uniqu camouflag gear action adventur intuit sixaxi motionsens control intens ps3 control will make feel everi explos ergonom grip keep comfort enough stay game hour wireless playstat number control give freedom move use bluetooth keep connectedeven number friend run low charg use control usb cabl style color assort may vari",4,0
113,"blueski gel nail polish","blueski number 33oz soak uv gel nail polish number","suitabl hand blueski shellac nail treatment damag natur provid number day incred highgloss wear quick easi remov give nail glamour treatment deserv comfort home salon mani color choos will never walk door bore nail ever",4,0.471
115,"yanke candl","yanke candl black coconut larg jar number oz brand new prioriti ship","",4,0.471
119,"projector","infocus projector lamp in116a","infocus projector lamp in116a descript splampnumb infocus certifi replac projector lamp in114a in116a",2,0.98
122,"macbook case number case","macal number macbook air","keep macbook air look clean pristin macal macbook air case durabl case featur numberpiec snap design protect macbook air ding scratch offer custom fit still provid access sensor vent open reduc heat build stateart macbook case includ antislip silica gel feet design specif model allow transport comput without worri",4,0.943
124,"girl halloween costum","crayola blue tween halloween size teen girl one size","",4,0
126,"iphon number","mophi juic pack plus iphon number red","charg appl iphon number 5s go mophi juic pack plus 39367bbr charg case provid addit number hour batteri life littl number number hour charg time plastic rubber materi offer protect",3,1.095
135,"vaniti fair bras","vaniti fair number year","vaniti fair number year showcas centuri person art crisi highbrow low incept jazz age reincarn boomboom reagan imagesatur inform vaniti fair present modern era use peerless literari groundbreak imageri greatest illustr day sumptuous book take decadedecad look world seen stop describ incompar editor frank crowninshield birth jazz age vaniti controversi rebirth histori glamor vaniti fair oscar parti exhaust visual timecapsul vaniti fair number year book everyon will want number",2,0.471
136,"duffl bag","pittsburgh steeler roadblock duffel black","ts time stand proud showcas undi spirit one winningest team american footbal handsom shoulder strap pittsburgh steeler roadblock duffel celebr accomplish multipl super bowl champion nfl magnific zipper duffel bag offer enough interior spacious handl belong eas perfect travel companion casual weekend trip activ need roomi bag multipl fine stitch polyest beauti will fit bill cmon steeler let hear make measur number closur type zip closur includ shoulder strap exterior featur full zipper closur interior featur multipl compart handl type remov adust shoulder strap shell materi polyest liner materi polyest handl materi nylon dimens number number h x number number w x number number d weight number number lb warranti descript number day limit manufactur warranti info",4,0.471
143,"white plain dinner set","corell plain white dinner plate number set ","",4,0.471
145,"dress shirt","georg boy number piec dress shirt tie set","georg boy number piec dress shirt tie set will make boy look smart sharp comfort design impecc numberpiec set will make boy look great piec also great mix match exist closet choos assort option",3,0.433
151,"led christma light","set number twinkl warm white led christma light extens set black wire","set number twinkl warm white led christma light extens set black wire led connect new flexibl light system",4,0
161,"steel necklac","fashion gift men 316l stainless steel cross pendant necklac chain silver","",3,0.471
164,"kitchenaid mixer","kitchenaid rrfga food grinder mixer attach","accessor kitchenaid stand mixer quick grind firm fruit dri chees attach versatil attach includ coars fine grind plate",2,0.471
171,"dc shoe black","boy dc shoe pure","kid pure featur resili metal eyelet lace foampad tongu lightweight mesh tongu vulcan construct also abrasionresist sticki rubber multiton bottom dcs trademark sole design allow comfort walk age featur either leather canva upper",3,0.471
172,"duffl bag","everi day carri tactic larg heavi duti carri shoulder duffl bag odg","everi day carri duffl bag construct heavi duti 600d polyest withstand harsh can accommod gear mission hike excurs dual carri handl well adjust shoulder strap longer carri time main compart featur wide mouth easili fit gear insid pull tab zipper addit side pocket can easili stash access smaller item item need readi hand",4,0.49
173,"hello kitti","sanrio co hello kitti women number numberounc eau de toilett spray","hello kitti perfum introduc design hous sanrio co fragranc avail number numberounc eau de toilett tester spray",3,0.471
176,"pot pan set","cookwar pot pan set number piec stainless steel kitchen food cook","",4,0.433
181,"electr blanket","sunbeam heat electr blanket channel microplush king size slate grey","indulg rich soft sunbeam channel microplush heat blanket slate king size ultrasoft microplush fabric smooth stylish channel pattern hem edg finish blanket sophist person heat set prepar rest night sooth comfort eleg thermofin warm system blanket monitor temperatur autoadjust keep level warmth consist throughout night sunbeam blanket also allow save number percent year heat bill turn heat blanket set thermostat numbernumb percent number hour sleep blanket includ number heat easyoper control make simpl find exact right set easi blanket fulli machin washabl dryer safe made number percent polyest includ number year limit warranti sunbeam twin x number singl heat control full x number singl heat control queen x number dual heat control king x number dual heat control",4,0
183,"aveeno shampoo","herbal essenc envi volum number number oz","herbal essenc envi volum shampoo give hair just wont quit lightweight formula shampoo infus passion flower pearl natur volum shine herbal essenc envi number number exhilar scent work thick lather also ideal hair includ colortr hair herbal essenc volum shampoo come pump ad conveni best combin herbal essenc envi volum sold separ",2,0.471
189,"blender","bosch univers plus blender pitcher","blender pitcher design crumb make anyth fresh nut babi sandwich spread blender featur larg number cup capac titl bosch univers plus blender color white includ blender lid funnel capac six cup motor number watt bosch univers set four speed attach mixer dimens number inch high x number inch wide x number inch deep materi plastic remov blade easi clean fit older univers mixer fit univers plus mixer",4,0.943
194,"skecher women shoe","danskin now girl bunge tie crosstrain shoe","upper outsol useasoftbristlebrushtoremoveanysurfacedirtordustfromthesho",2,0.894
195,"bird seed feeder","perkypet mason jar wild bird feeder free ship","",4,0
197,"long prom dress","r m richard petit long lace mesh ribbon belt dress","exud classic eleg long formal dress richard featur darl ribbon belt waist allov rose mesh lace",2,0.943
199,"led christma light","swirl led light christma tree glitterdom figur winter town scene","pack number winter scene swirl led light christma tree glitterdom figur magnet motor bottom christma tree glitterdom swirl iridesc glitter insid time interv base tree lit within led light tree surround color wintri town scene conveni switch back batteri oper dimens number x x number pack includ number item shown",2,0
200,"harleydavidson","harley davidson eagl frame art print gel coat finish","",3,0.471
201,"harleydavidson","ultim harleydavidson","updat new generat bike visual stun comprehens histori harleydavidson chart compani bike decad decad moment first model roll backyard shed harley postwar golden sought bike distinguish compani harleydavidson present seventi beauti covet harley time whether number vtwin number x1 seventi harleydavidson bike examin present minut closeup engin depth technic specif",2,0.748
204,"bike lock","wordlock bike lock match key 10mm 5ft black","featur benefitsmatchkey system key color match cabl color word key match word lock uniqu key shape match key product heavyduti flexibl steel cabl 10mm number feet long bike mount bracket",4,0
211,"rain jacket","cloudburst rain jacket","",4,0
214,"duffl bag","walterdrak duffl bag","stylish tapestri luggag yet rug waterresist duffl bag part luggag set nest easi storag durabl polyest leatherlik trim duffl remov strap adjust l number h x number w x number d",4,0
215,"lego star war","lego star war republ frigat minifig","",4,0.471
217,"reusabl straw","itzi ritzi snack happen reusabl snack bag thermo straw jungl","never leav home without snack stash think keep sandwich candi bribe stylish contain color zipper bag ecofriend carrier come modern pattern ador youll forget plastic bag ever exist even theyr machin washabl clean reus easi itzi ritzi snack happen reusabl snack everyth bag machin washabl bag sandwich much made fda machin washabl bag also lead phthalat free cpsia certifi zipper top allow silent snack messi crumb get stuck velcro ideal littl hand measur numberinch numberinch thermo straw bottl combin lightweight portabl superior durabl made eastman tritan contain dishwashersaf",4,1.414
218,"projector","lg ph300 minibeam led projector embed batteri built digit tuner","lg minibeam projector featur digit tv built number numberhour led light sourc easili convert display tablet projector hdmi compat cabl control content straight projector plug play media usb includ remot control auto keyston automat correct skew pictur number degre projector featur hd number x number resolut led rgb lamp number numberinch screen size",4,0
220,"kitchenaid glass bowl","kitchenaid k5gb number qt glass bowl stand mixer new box","",4,0
221,"yoga mat","macbeth collect margarita fashion yoga mat","get fit style macbeth collect fashion yoga mat perfect accessori help keep fit carri around fit unrol right home mat easili clean dirti slipresist safeti",4,0
228,"portabl hard drive","toshiba canvio connect 2tb portabl extern hard black","store import pictur media eas use toshiba canvio connect 2tb portabl extern hard drive hard drive 2tb capac design hold photo hour music compat microsoft window number toshiba 2tb hard drive will keep file central allow easi access black hard drive also speed will let retriev file quick effortless enhanc way use comput handi hard drive",4,0
230,"harleydavidson","harleydavidson philosophi","",4,0.943
232,"rice cooker","stainless steel numbercup rice cooker steam tray","",4,0
241,"ps3 wireless control","rock candi wireless red","play video game style rock candi wireless control ps3 instead tradit red transluc design can use express person style button featur control standard game includ wireless adapt conveni enjoy ps3 game full extent rock candi control red",3,0.748
243,"power surg protector","accel powramid power center surg protector","accel powramid power center surg protector descript powramid power center surg protector typic surg protector continu suppli power even longer provid surg expos connect devic potenti damag power surg power stop powramid automat stop conduct power absorpt reach capac powramid provid advanc number joul surg protect featur patent x3 mov technolog maximum safeti connect devic powramid surg protector avail black white featur number foot ground power cord",4,0.471
245,"toaster oven","oster numberslic toaster","oster numberslic toaster oven conveni prepar meal snack without turn big convent oven ideal quick grab go food heat leftov",4,0
247,"face cream","retinol face moistur organ lili de valle number oz cream","retinol face moistur organ number ozorgan retinol moistur power cocktail antioxid combin vitamin diminish fine prematur age due sun exposur vitamin boast long list clinic proven restor antiag properti result orient formul will fight free radic damag well restor renew thick skin direct appli small amount face neck night appli sunscreen use day paraben free",2,0.943
248,"hawaiian shirt","polo shirt mossimo suppli co","detail size junior knit type piqu materi number number spandex necklin style polo collar sleev style set basic sleev band cuff closur style front button garment length hip hem type plain hem care clean machin machin gentl non chlorin bleach tumbl low low pattern pattern appli",2,0
249,"multipl phone charger","samsung galaxi s5 mini 16gb unlock gsm dualsim cell phone","super slim number number galaxi s5 mini offer much technolog galaxi s5 conveni compact design enjoy unsurpass perform compact size make onehand use comfort ip67 galaxi s5 mini resist sand dust feel free use phone practic situat",1,0.471
252,"hollist polo","georg boy longsleev polo numberpack valu bundl","georg boy longsleev polo numberpack valu bundl ideal child backschool wardrob polo shirt made soft cotton blend treat scotchgard protector prevent stain tradit style polo shirt featur flat knit rib collar match cuff also includ vent side seam breathabl sweat patch tagless label prevent itch irrit georg polo shirt come varieti color can mix match school uniform essenti pair jean polish look georg boy",2,0.632
253," clock","howard miller windsor carriag clock","howard miller windsor clock will add eleg set carriagestyl clock quartz movement bevel side featur black roman glass metal waterfal bezel polish brass finish craft select hardwood veneer rich warm windsor cherri finish howard miller begin howard miller clock impress see superior qualiti design howard miller mantel clock craft last generat perfect accent home began manufactur wall mantel clock michigan evolv encompass cabinet make furnitur design renown qualiti style howard miller compani proud stand behind reput world largest clock manufactur 7h x 6w x number 5d inch windsor cherri finish crystal glass cover quartz movement batteryoper bevel base",4,0.866
265,"rain boot","women black red tall rain boot","choos pair chic durabl rubber boot wear raini keep feet tidi garden muck soil easili washabl boot will withstand bad weather help perform backyard line soft knit fabric keep toe warm raini day",4,0
266,"cat grass","special kitti outdoor dri cat number lbs"," item special kitti dri cat food know cat want serv best food that one highqual varieti use wholesom ingredi support health also tast delici can alway trust special kitti cat food provid nutriti premium product cat will crave advanc outdoor formula made specif attent need outdoor pet provid extra energi need activ outdoor product also support tooth health cat may actual reward smile thank wholesom cat food special kitti outdoor dri cat number lbs",1,0
268,"vaniti fair bras","fruit loom comfort frontclos sport style numberpack","esta fruta del sujetador confort deportivo delantero cerca estilo es perfecto para el uso diario es de llevar con su de cierr frontal y tien un frent fruncida para una mejor se construy con number capa de cobertura sin complicacion elig uno de los color variado fruit loom comfort frontcerrar estilo number de llevar cerca delant de sujetador frent fruncida para mejorar la number capa para una cobertura sin complicacion perfecto para todo los lavar en",3,0.471
269,"wii microphon","offici logitech rock band usb microphon xbox number nintendo wii ps3 test","",4,0.4
271,"high chair","cosco simpl fold high zuri","invit fun meal time cosco simpl fold high chair easi stow take high chair special design simpl take along ride full threeposit adjust tray grow give extra room need cleanup easi messi meal thank wipeabl seat pad high chair fold quick storag sight pack easili car whether dine home simpl fold high chair give child fun place eat cosco simpl fold high zuri easi wipe seat make babi goo simpl clean fold flat stand make easi hide away compact fold great take go nonsens design set just second full numberposit adjust tray built cup holder wipeabl seat pad comfort leg rest littl feet numberpoint har keep child number lbs secur",2,0.8
275,"san francisco 49er","san francisco 49er offici nfl infant one size hood infant towel","keep babi warm dri hood towel made super soft terri cloth us print logo",4,0.471
276,"stick vacuum","bissel 53y8 lift floor cordless numbernumb stick vacuum","power bissel lift floor cordless numbernumb stick vacuum smart choic everyday mess includ brush roll switch safe effect clean floor type detach hand vacuum make easi clean ",4,0
279,"ice cream maker","koolatron delux doubl treat ice cream maker ft03","now can doubl deck cone koolatron delux doubl treat ice cream maker mix batch two differ flavor place ingredi chocol one vanilla hit switch ice cream maker start mix automat stop delici treat reach perfect temperatur includ instruct manual recip book sweet inspir dishwash safe easi clean requir numberaa batteri must purchas separ ",4,0
281,"extrem goofi movi","goofi movi "," number disney now can enjoy outrag fun laughter disney legendari comedian star fulllength motion great tradit qualiti disney goofi classic blend irresist unforgett endear modernday stori lovabl goof bond teenag hilari crosscountri road trip en rout ol fish find floppi ear will max learn there noth wrong take dear old dad littl question answer showstop final max goofi spectacular rock concert ever fill actionpack narrow escap even comic close encount bigfoot disney critic acclaim hit comedi delight memor adventur famili will love take goofi success dvd trivia theatric trailer",3,0.894
289,"gym glove","everlast wristwrap black","",2,0.748
290,"doubl stroller","contour option elit twin tandem doubl babi stroller sand new"," style1 style2 style3 style4 style5 style6 style7 style8 style9 style10 style11 style12 style13 style14 style15 contour option elit twin tandem doubl stroller sand best world auth dealer contour purchas will cover full mfg warranti ",4,0
295,"wine rack","jumbo bin numberbottl mahogani wine rack","jumbo bin numberbottl wine rack now beauti ecofriend ever handcut handsand remark even color grain",4,0
296,"leather men briefcas","leather briefcas remov laptop sleev red","stay stylish connect luxuri italian leather bag memorystructur laptop sleev top zip offer easi access number divid section one pad laptop sleev protect comput insid bag laptop number second section includ gusset zip disk cell phone pocket pen pocket outer organ pocket featur doubl space media gadget busi pen loop lightweight bag weigh number lbs number tubular forearm plus remov leather shoulder strap nonslip neopren pad absorb shock allevi strain",3,0.471
299,"wall clock","bulova gymnasium number wall clock","underappreci charm vintag schoolhous accessori final get bulova gymnasium number wall clock bring back classic design solid hardwood case timeless brown cherri finish faux leather insert complement contrast stitch metal cage protect glass len fli dodg clock use quartz movement requir one aa batteri includ bulova corpor realiz great american dream began number joseph numberyearold immigr open small jewelri store malden lane new york citi modest enterpris evolv one today preemin watch clock compani bulova began manufactur boudoir desk along fine pocket made sold unpreced number world war wristwatch issu militari greater conveni return veteran brought home new fashion new market emerg bulova timepiec use finest stateart technolog endur qualiti perform heart bulova watch precis accuraci finest quartz movement altern technolog solar mechan bulova watch guarante accur within one minut year everi bulova featur compani uniqu distortionfre scratchresist duracryst bulova offer rang style scope product meet everyon need sporti marin star collect diamond watch heirloomqu bulova watch clock will complement style",3,0.894
300,"keurig coffe maker","keurig k45 coffe maker number kcup pack water filter kit","",4,0.471
302,"sport bra","danskin now core strength push foam sport brahigh numberpack","danskin now core strength push foam sport bra bra can wear day without continu adjust worri spill bend slight push underwir bra offer excel support push sport bra great moistur sweat absorpt will feel wet itchi middl physic activ contour pad sport bra keep breast place offer day comfort one sport bra lend nice shape breast squish black sport bracan worn physic activ like run work gym danskin now core strength push foam sport bra can also worn daili basi make great bra everyday wear mesh materi great addit cup provid ultim support",4,0
305,"girl halloween costum","strawberri babi costum","",4,0.943
307,"patio tabl","somett athen numberinch cast aluminum outdoor ice bucket"," number outdoor gather will never somett athen outdoor enamor center ice bucket will keep memori cold drink ice within easi reach beyond adapt splendor function characterist cast aluminum agedbronz finish accent love bow latticestyl design adjust feet inset fit need",3,0.471
321,"toy truck","nickelodeon paw patrol rocki recycl vehicl figur","race rescu nickelodeon paw patrol rocki recycl truck paw patrol job big pup small danger near just give paw patrol help rocki recycl fun toy taken straight belov nickelodeon jr paw featur one show brave rocki paw patrol rocki truck vehicl figur featur plucki pup green recycl truck truck outfit movabl fork back open compart real work wheel truck can push direct easili rocki figur recycl truck toy part full line toy popular delight young fan rescu mission full teamwork braveri choos rocki uniqu transform toy sold separ toy recommend age number nickelodeon paw rocki recycl vehicl figur popular nick jr show paw patrol learn braveri teamwork includ rocki truck real work wheel",4,0
322,"ray ban sunglass","ray ban sunglass new wayfar rb2132 55mm","simpli rayban icon eyewear sinc introduct classic wayfar style signatur shape rayban immedi recogniz anywher world rockrol wayfar alway symbol fashion tast rb2132 wayfar rayban modern interpret origin classic slight smaller softer eye shape frame construct make lightweight durabl crystal len featur numberperc uvnumb coat quintessenti wayfar shape balanc accent frame logo templ rb2132 combin black frame green len can never go wrong updat twist classic look",4,0
323,"portabl hard drive","dell dell portabl backup hard drive number tb","",3,0.471
334,"sport bra","c9 champion women power core cami sport bra","c9 champion medium support sport bra must fit wardrob want coverag medium support moisturewick fabric keep dri support numberway stretch soft cup keep comfort bevi color choos sure find perfect color match attir",4,0.4
336,"portabl hard drive","toshiba canvio connect 1tb portabl extern hard drive valu bundl bonus case","plug toshiba new versatil canvio connect let share back precious file media virtual anywher pockets easi amaz fullfeatur perform offer huge amount storag 2tb can download back desktop laptop even mobil devic toshiba canvio connect 1tb portabl extern hard drive 1tb expand digit storag usb number usb number number flexibl interfac fast transfer speed number rpm fast access perform plug n pla",4,0
338,"tv","vizio e320fib2 numberinch 1080p 60hz fullarray smart led hdtv built wifi","",3,0.471
339,"basebal photo frame","heart heart wooden basebal pictur frame","",4,0.471
341,"assassinss creed","assassin creed rogu ","game featur becom ultim assassin hunter experi creed univers perspect templar play addit skill master also possess new like enhanc eagl dead air rifl grenad launcher slowli descend dark wit transform adventur assassin grim commit templar will hunt former brother experi firsthand event will lead shay dark path set cours will forev chang fate assassin brotherhood new improv naval gameplay cast fight way ici sea north atlant narrow water river valley creed rogu build awardwin naval experi iv black new includ new weapon enemi tactic vast divers open world explor stori will allow explor three uniqu environ artic north american river new york citi north 18th centuri amid chao violenc french indian shay patrick fearless young member assassin undergo dark transform will forev shape futur coloni danger mission goe tragic shay turn back assassin attempt end life cast asid call shay set mission wipe turn ultim becom fear assassin hunter histori darkest chapter franchis yet will experi slow transform assassin assassin hunter follow creed set extraordinari journey new york wild river far away ici cold water north atlant pursuit ultim bring assassin",4,0
344,"button shirt","french toast white long sleev button boy uniform shirt number","littl boy will look sharp school long sleev button uniform shirt french toast classic button dress shirt can pair perfect tie great high qualiti fabric ensur boy will wear shirt mani time",4,0.471
346,"martial art headgear","everlast black mma headgear"," number protect competit everlast mma headgear full chin cheek pad includ mold face bar will protect face punch everhid vinyl liner will provid snug comfort fit includ full cheek chin pad protect face punch provid snug comfort fit set includ headgear brand everlast model 7420lxl materi synthet leather color black dimens number number inch long x number number inch wide x number number inch high weight number number pound",4,0
348,"lc lauren conrad dress","firefight child costum role play set"," littl boy put firefight can readi fight imaginari fire will big hero save day enjoy creativ posit play featur tradit color black yellow display word back made polyest materi includ match helmet child costum idea role dress school play festiv occas refer detail size vari ensur best possibl fit firefight child costum role play set child costum includ shirt hat materi content polyest tradit black yellow color role play costum ideal dress school play occas care spot clean size child boy",1,0
